"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"42" 19 5.66666666666667 5.66666666666667 32.6666666666667 51.3333333333333 8.33333333333333 8.33333333333333 33
"43" 19 6 6 33.3333333333333 60.6666666666667 9 9 33.6666666666667
"44" 19.3333333333333 6.66666666666667 6.66666666666667 34.6666666666667 71 11.3333333333333 11.3333333333333 35.3333333333333
"45" 19.6666666666667 7.66666666666667 7.66666666666667 35.6666666666667 85 13.6666666666667 13.6666666666667 37.3333333333333
"46" 19.6666666666667 8.33333333333333 8.33333333333333 36 95.6666666666667 16.3333333333333 16.3333333333333 38.3333333333333
"47" 19.6666666666667 9.33333333333333 9.33333333333333 37.6666666666667 113.333333333333 18.3333333333333 18.3333333333333 40.6666666666667
"48" 19.6666666666667 10.3333333333333 10.3333333333333 38.3333333333333 127.333333333333 21.3333333333333 21.3333333333333 42.3333333333333
"49" 19.6666666666667 12.6666666666667 12.6666666666667 38.3333333333333 141 24.3333333333333 24.3333333333333 42.6666666666667
"50" 19.6666666666667 13.6666666666667 13.6666666666667 38.3333333333333 160.333333333333 28 28 44.3333333333333
"51" 19.6666666666667 14.6666666666667 14.6666666666667 38.6666666666667 180.666666666667 32 32 46.6666666666667
"52" 20 17.3333333333333 17.3333333333333 38.6666666666667 205 37 37 51.6666666666667
"53" 20 19.6666666666667 19.6666666666667 39 226.666666666667 46.6666666666667 46.6666666666667 57
"54" 20 22.3333333333333 22.3333333333333 39 249 57.3333333333333 57.3333333333333 63.3333333333333
"55" 20 25.3333333333333 25.3333333333333 39 267.666666666667 72.3333333333333 72.3333333333333 71
"56" 20 28 28 39 289.666666666667 85 85 79.3333333333333
"57" 20 28.6666666666667 28.6666666666667 39 310.666666666667 101 101 92
"58" 20 30 30 39 330 125 125 107.333333333333
"59" 20 31 31 39 356.333333333333 152.666666666667 152.666666666667 121.666666666667
"60" 20 32 32 39 378 181.333333333333 181.333333333333 143.333333333333
"61" 20.3333333333333 33.6666666666667 33.6666666666667 39 395 215 215 169
"62" 20.6666666666667 34.6666666666667 34.6666666666667 39 415.333333333333 248 248 186
"63" 21.3333333333333 35.6666666666667 35.6666666666667 39 440.666666666667 287.666666666667 287.666666666667 207.333333333333
"64" 23 36.3333333333333 36.3333333333333 39 466.333333333333 330.666666666667 330.666666666667 231.333333333333
"65" 23.6666666666667 36.3333333333333 36.3333333333333 39 490 374 374 250.666666666667
"66" 23.6666666666667 36 36 39 510.333333333333 406.333333333333 406.333333333333 272.333333333333
"67" 24.6666666666667 36.3333333333333 36.3333333333333 39 534 448.333333333333 448.333333333333 293
"68" 26 36.3333333333333 36.3333333333333 39 557.666666666667 494.666666666667 494.666666666667 318.333333333333
"69" 26.6666666666667 36.6666666666667 36.6666666666667 39 578.333333333333 533.333333333333 533.333333333333 343.666666666667
"70" 28 36.6666666666667 36.6666666666667 39 598.333333333333 571.333333333333 571.333333333333 365.333333333333
"71" 28 36.3333333333333 36.3333333333333 39 615.666666666667 605.666666666667 605.666666666667 379
"72" 28.3333333333333 36.3333333333333 36.3333333333333 39 631.666666666667 636.666666666667 636.666666666667 399
"73" 29.3333333333333 36.3333333333333 36.3333333333333 39 644 667.333333333333 667.333333333333 415.666666666667
"74" 30 36.6666666666667 36.6666666666667 39 654.333333333333 698 698 434
"75" 30 36 36 39 660 717.666666666667 717.666666666667 456.333333333333
